nome,take,stop,d365_trades,d365_winrate,d365_pontos,d365_dd,d365_pf,d90_trades,d90_winrate,d90_pontos,d30_trades,d30_winrate,d30_pontos,observacao,config_original
DMI10_alta_acertividade,40.5,125.0,45,93.33333333333333,1326.0,-128.5,4.536,11,81.81818181818183,114.5,5,80.0,37.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI10_alta_acertividade,45.5,110.0,45,88.88888888888889,1270.0,-174.5,3.309090909090909,11,81.81818181818183,189.5,5,80.0,72.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI10_alta_acertividade,40.5,110.0,45,91.11111111111111,1220.5,-110.0,3.7738636363636364,11,81.81818181818183,144.5,5,80.0,52.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI10_alta_acertividade,60.5,90.0,45,77.77777777777779,1217.5,-388.0,2.352777777777778,11,72.72727272727273,214.0,5,80.0,152.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI10_alta_acertividade,45.5,100.0,45,86.66666666666667,1174.5,-172.5,2.9575,11,81.81818181818183,209.5,5,80.0,82.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI10_alta_acertividade,40.5,100.0,45,88.88888888888889,1120.0,-138.0,3.24,11,81.81818181818183,164.5,5,80.0,62.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI10_alta_acertividade,55.5,90.0,45,77.77777777777779,1042.5,-408.0,2.158333333333333,11,72.72727272727273,174.0,5,80.0,132.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI10_alta_acertividade,50.5,90.0,45,80.0,1008.0,-287.5,2.2444444444444445,11,72.72727272727273,134.0,5,80.0,112.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI10_alta_acertividade,45.5,90.0,45,80.0,828.0,-312.5,2.022222222222222,11,72.72727272727273,94.0,5,80.0,92.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI10_alta_acertividade,40.5,90.0,45,82.22222222222221,778.5,-207.0,2.08125,11,72.72727272727273,54.0,5,80.0,72.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,60.5,117.0,131,80.91603053435115,3488.0,-468.0,2.1924786324786325,31,74.19354838709677,455.5,11,63.63636363636363,-44.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,55.5,125.0,131,83.96946564885496,3480.0,-514.0,2.3257142857142856,31,80.64516129032258,637.5,11,81.81818181818183,249.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,55.5,117.0,131,83.20610687022901,3475.5,-474.0,2.3502331002331003,31,80.64516129032258,685.5,11,81.81818181818183,265.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,60.5,125.0,131,81.67938931297711,3473.5,-504.0,2.1578333333333335,31,74.19354838709677,391.5,11,63.63636363636363,-76.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,50.5,125.0,131,84.7328244274809,3105.5,-524.0,2.2422,31,80.64516129032258,512.5,11,81.81818181818183,204.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,50.5,117.0,131,83.96946564885496,3098.0,-484.0,2.260887260887261,31,80.64516129032258,560.5,11,81.81818181818183,220.5,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
DMI3_equilibrado,45.5,117.0,132,86.36363636363636,3081.0,-331.5,2.462962962962963,31,87.09677419354838,760.5,11,90.9090909090909,338.0,resimulacao_intrabar_stop_primeiro,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday
