config_id,nome_tokens,tokens,adx_min,dmi_gap_min,ema_gap_min,usar_rsi,usar_ema200,usar_vwap,all_trades,all_winrate,all_pontos,all_dd,all_pf,d365_trades,d365_winrate,d365_pontos,d365_dd,d365_pf,d90_trades,d90_winrate,d90_pontos,d90_dd,d90_pf,d30_trades,d30_winrate,d30_pontos,d30_dd,d30_pf,score
143,3h_80_tv,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,15,0,2,True,True,True,152,76.31578947368422,1646.0,-841.0,1.3907882241215574,64,87.5,1892.0,-250.0,3.0213675213675213,14,78.57142857142857,204.5,-250.0,1.5826210826210827,5,60.0,-82.5,-117.0,0.6474358974358975,20.34193894993895
458,3h_80_tv,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,25,6,2,False,True,False,99,76.76767676767676,1147.0,-564.0,1.4262356001486436,40,87.5,1182.5,-250.0,3.0213675213675213,11,72.72727272727273,53.0,-250.0,1.150997150997151,4,75.0,34.5,0.0,1.294871794871795,20.09023115773116
459,3h_80_tv,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,25,6,2,False,True,True,98,77.55102040816327,1264.0,-564.0,1.491064491064491,40,87.5,1182.5,-250.0,3.0213675213675213,11,72.72727272727273,53.0,-250.0,1.150997150997151,4,75.0,34.5,0.0,1.294871794871795,20.09023115773116
103,3h_80_tv,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,0,10,0,True,True,True,131,77.09923664122137,1590.5,-761.0,1.4531339031339032,56,87.5,1655.5,-250.0,3.0213675213675213,11,72.72727272727273,53.0,-250.0,1.150997150997151,5,60.0,-82.5,-117.0,0.6474358974358975,19.81323115773116
736,81_tv,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 20:58|BUY|Sunday,0,10,0,False,False,False,87,81.60919540229885,1713.5,-266.0,1.9153311965811965,40,87.5,1182.5,-183.5,3.0213675213675213,10,70.0,2.5,-183.5,1.0071225071225072,8,75.0,69.0,-183.5,1.294871794871795,20.020367521367522
342,3h_80_tv,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,20,6,5,True,True,False,89,75.28089887640449,809.5,-846.0,1.3144910644910646,40,87.5,1182.5,-250.0,3.0213675213675213,10,70.0,2.5,-250.0,1.0071225071225072,5,60.0,-82.5,-117.0,0.6474358974358975,19.20386752136752
343,3h_80_tv,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,20,6,5,True,True,True,88,76.13636363636364,926.5,-729.0,1.3770858770858772,40,87.5,1182.5,-250.0,3.0213675213675213,10,70.0,2.5,-250.0,1.0071225071225072,5,60.0,-82.5,-117.0,0.6474358974358975,19.20386752136752
96,3h_80_tv,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,0,10,0,False,False,False,184,76.63043478260869,2089.5,-849.5,1.415324985092427,79,87.34177215189874,2314.5,-316.5,2.9782051282051283,16,81.25,305.5,-183.5,1.8703703703703705,7,71.42857142857143,18.5,-117.0,1.079059829059829,21.344310914823573
97,3h_80_tv,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,0,10,0,False,False,True,148,77.7027027027027,1946.5,-625.5,1.5041440041440042,63,87.3015873015873,1841.5,-199.5,2.96741452991453,14,78.57142857142857,204.5,-183.5,1.5826210826210827,6,66.66666666666666,-32.0,-117.0,0.8632478632478633,20.601478021978025
212,3h_80_tv,03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,15,6,5,True,False,False,109,76.14678899082568,1149.5,-726.5,1.3778763971071664,47,87.2340425531915,1368.5,-266.0,2.9494301994301995,15,73.33333333333333,87.5,-266.0,1.186965811965812,5,60.0,-82.5,-117.0,0.6474358974358975,19.442001121416013
