tokens,qtd_tokens,d365_trades,d365_winrate,d365_pnl_usd,d365_max_drawdown_usd,d365_profit_factor,d90_trades,d90_winrate,d90_pnl_usd,d90_max_drawdown_usd,d90_profit_factor,d30_trades,d30_winrate,d30_pnl_usd,d30_max_drawdown_usd,d30_profit_factor,score_robustez
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday ; 20:58|SELL|Monday,7,177,76.8361581920904,6421.0,-697.0,1.9275550740339473,55,81.81818181818183,2110.0,-697.0,1.9017094017094016,20,70.0,10.0,-697.0,1.0071225071225072,22.92607998415208
03:48|BUY|Monday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|SELL|Sunday,7,177,76.8361581920904,5599.0,-1017.5,1.6951393630889564,53,75.47169811320755,1121.5,-541.5,1.3842727428473531,17,70.58823529411765,42.0,-367.0,1.035897435897436,21.263251852664254
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Thursday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Monday,10,259,76.83397683397683,8508.0,-867.0,1.7462503289185158,75,77.33333333333333,1785.0,-867.0,1.4487179487179487,24,70.83333333333334,79.0,-867.0,1.0482295482295483,24.478981345649533
03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 20:58|BUY|Wednesday,3,82,76.82926829268293,2745.5,-500.0,1.779418026969482,23,82.6086956521739,983.0,-234.0,2.050213675213675,6,83.33333333333334,271.0,-234.0,2.158119658119658,20.004946305513137
10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Monday,6,164,76.82926829268293,5260.0,-798.0,1.7166212534059946,44,81.81818181818183,1669.0,-468.0,1.891559829059829,15,80.0,510.0,-468.0,1.7264957264957266,21.952457173583376
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Sunday,7,164,76.82926829268293,5288.0,-867.0,1.7201416314857687,50,80.0,1700.0,-468.0,1.7264957264957266,17,76.47058823529412,377.0,-266.0,1.4027777777777777,21.64759787251877
10:30|BUY|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday ; 20:58|BUY|Wednesday ; 20:58|SELL|Monday,6,164,76.82926829268293,5564.5,-767.0,1.8180682152308145,49,79.59183673469387,1504.0,-601.0,1.6427350427350427,18,72.22222222222221,143.0,-601.0,1.1222222222222222,21.88919799234491
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Monday ; 20:58|SELL|Sunday,10,246,76.82926829268293,7979.5,-1000.5,1.7307569027885892,71,78.87323943661971,2051.0,-532.0,1.5843304843304844,25,72.0,180.0,-500.0,1.10989010989011,23.936345703887866
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Wednesday,9,233,76.82403433476395,7749.0,-1352.5,1.7632602807190347,64,81.25,2567.5,-477.5,1.9564164648910412,18,72.22222222222221,143.0,-367.0,1.1222222222222222,23.51577482530654
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|SELL|Monday,6,151,76.82119205298014,5216.0,-688.5,1.8225831887714872,45,82.22222222222221,1770.0,-399.0,1.9455128205128205,19,73.68421052631578,244.0,-367.0,1.2085470085470085,21.8275240314964
03:48|BUY|Tuesday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday ; 20:58|SELL|Monday,5,138,76.81159420289855,5310.0,-798.5,2.0612571200159886,36,88.88888888888889,2201.0,-367.0,3.3514957264957266,11,72.72727272727273,106.0,-234.0,1.150997150997151,22.33472462111392
03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday ; 20:58|SELL|Monday ; 20:58|SELL|Sunday,8,207,76.81159420289855,7083.0,-729.5,1.8251878604298946,59,79.66101694915254,1844.0,-697.0,1.6566951566951567,20,70.0,10.0,-697.0,1.0071225071225072,23.342898128177374
10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|SELL|Sunday,5,138,76.81159420289855,4488.0,-1118.5,1.7314807269171217,34,79.41176470588235,1212.5,-578.5,1.800594255529878,8,75.0,138.0,-234.0,1.294871794871795,20.502728382501093
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday,8,207,76.81159420289855,6758.5,-1118.5,1.7383111208214987,61,78.68852459016394,1929.5,-477.5,1.6611272914168238,21,71.42857142857143,111.0,-468.0,1.079059829059829,22.565325342048123
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Sunday,9,207,76.81159420289855,6465.5,-697.0,1.6806864241722377,61,78.68852459016394,1806.0,-697.0,1.593688362919132,21,71.42857142857143,111.0,-500.0,1.079059829059829,22.636200645398862
03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Thursday ; 20:58|BUY|Sunday ; 20:58|SELL|Monday,7,194,76.80412371134021,6406.5,-835.0,1.7551718040902928,53,77.35849056603774,1238.0,-835.0,1.440883190883191,18,72.22222222222221,143.0,-835.0,1.1222222222222222,22.48611981463731
03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday,4,125,76.8,4470.0,-967.0,1.8800078747908258,31,87.09677419354838,1914.5,-243.5,3.356307692307692,8,87.5,473.0,-234.0,3.0213675213675213,21.792846584468247
03:48|BUY|Tuesday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Sunday,5,125,76.8,4177.0,-766.0,1.7700958702064897,31,87.09677419354838,1791.0,-234.0,2.9134615384615383,8,87.5,473.0,-234.0,3.0213675213675213,21.590934579883907
03:48|BUY|Tuesday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday ; 20:58|BUY|Wednesday ; 20:58|SELL|Sunday,5,125,76.8,4481.5,-735.0,1.9172124437167417,36,83.33333333333334,1626.0,-367.0,2.158119658119658,11,72.72727272727273,106.0,-367.0,1.150997150997151,21.146742746747048
03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,5,125,76.8,3746.0,-1101.0,1.6328771751985132,34,82.35294117647058,1424.0,-532.0,2.0142450142450143,11,81.81818181818183,441.0,-234.0,1.9423076923076923,20.166433324931134
03:48|SELL|Friday ; 10:30|BUY|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday ; 20:58|BUY|Wednesday,5,125,76.8,4050.5,-1070.0,1.752741126184724,39,79.48717948717949,1259.0,-697.0,1.672542735042735,14,71.42857142857143,74.0,-633.0,1.079059829059829,19.95902867197227
03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Wednesday,5,125,76.8,3923.0,-1175.5,1.690912293060937,34,79.41176470588235,1089.0,-399.0,1.664835164835165,10,70.0,5.0,-234.0,1.0071225071225072,19.589000528355054
03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday,5,125,76.8,3833.0,-1049.0,1.6609760303500603,36,77.77777777777779,956.0,-596.0,1.5106837606837606,11,72.72727272727273,106.0,-500.0,1.150997150997151,19.650228555602585
03:48|BUY|Monday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Tuesday ; 20:58|BUY|Wednesday,7,181,76.79558011049724,5996.0,-1567.0,1.779106029106029,50,86.0,2828.5,-468.0,2.867613073621657,16,75.0,276.0,-468.0,1.294871794871795,21.937664040155752
03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Thursday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Sunday,7,181,76.79558011049724,5578.0,-899.0,1.6667463542911787,53,73.58490566037736,663.0,-835.0,1.2023809523809523,18,72.22222222222221,143.0,-835.0,1.1222222222222222,21.31566075947088
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Wednesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Wednesday,9,237,76.79324894514767,7621.0,-1202.0,1.723913559724531,63,82.53968253968253,2783.5,-665.0,2.1358906345643747,20,70.0,10.0,-665.0,1.0071225071225072,23.449222581223424
03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday,6,168,76.78571428571429,5647.5,-1505.5,1.7805805114029025,42,83.33333333333334,2020.5,-477.5,2.3341036645757676,12,75.0,207.0,-234.0,1.294871794871795,21.517818606640997
03:48|BUY|Tuesday ; 10:30|SELL|Thursday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,4,112,76.78571428571429,3805.0,-917.5,1.7950271625574592,30,80.0,1020.0,-468.0,1.7264957264957266,9,77.77777777777779,239.0,-468.0,1.5106837606837606,20.249987480017776
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Wednesday ; 20:58|SELL|Monday,6,155,76.77419354838709,5388.5,-1107.5,1.8366586445151774,43,83.72093023255815,1903.0,-468.0,2.1617826617826617,12,75.0,207.0,-367.0,1.294871794871795,21.731124510981793
03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 10:30|SELL|Thursday ; 20:58|BUY|Sunday,6,155,76.77419354838709,4892.5,-848.5,1.6927433628318584,43,76.74418604651163,993.0,-734.0,1.4243589743589744,14,71.42857142857143,74.0,-734.0,1.079059829059829,20.822800591424723
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Thursday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Monday ; 20:58|SELL|Sunday,10,254,76.77165354330708,8221.0,-766.0,1.728553704360156,73,76.71232876712328,1583.0,-766.0,1.397938662644545,24,70.83333333333334,79.0,-766.0,1.0482295482295483,24.238002163713695
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|SELL|Monday,7,198,76.76767676767676,7113.0,-1336.5,1.8894029384182558,51,86.27450980392157,2834.5,-468.0,2.8715747771541764,14,78.57142857142857,409.0,-234.0,1.5826210826210827,23.584967533953442
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Tuesday ; 20:58|SELL|Monday,7,198,76.76767676767676,7417.5,-830.5,1.9943695958174141,56,83.92857142857143,2669.5,-468.0,2.3465321563682218,17,70.58823529411765,42.0,-399.0,1.035897435897436,23.983977608719545
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday ; 20:58|BUY|Wednesday ; 20:58|SELL|Monday ; 20:58|SELL|Sunday,8,198,76.76767676767676,7124.5,-633.0,1.9129292670425422,56,83.92857142857143,2546.0,-500.0,2.208926875593542,17,70.58823529411765,42.0,-500.0,1.035897435897436,23.807037279944677
03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 20:58|BUY|Sunday ; 20:58|SELL|Sunday,4,99,76.76767676767676,3186.5,-784.5,1.7200316348435205,28,82.14285714285714,1153.0,-234.0,1.9854700854700855,11,81.81818181818183,441.0,-234.0,1.9423076923076923,19.996851259663146
03:48|BUY|Monday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday ; 20:58|BUY|Wednesday ; 20:58|SELL|Monday,8,198,76.76767676767676,6693.5,-799.0,1.806542956982769,59,81.35593220338984,2179.0,-702.0,1.8465423465423465,20,70.0,10.0,-702.0,1.0071225071225072,22.945607243919937
10:30|BUY|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,4,99,76.76767676767676,2845.5,-968.0,1.5928742577351807,29,79.3103448275862,919.0,-399.0,1.6545584045584045,13,76.92307692307693,308.0,-234.0,1.4387464387464388,18.95881302203601
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Thursday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Wednesday,9,241,76.76348547717843,7990.5,-1151.5,1.759769896358277,66,78.78787878787878,2099.5,-734.0,1.665979381443299,17,70.58823529411765,42.0,-734.0,1.035897435897436,23.743924148175946
03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|SELL|Monday,5,142,76.76056338028168,5167.5,-927.5,1.9093708754949406,40,80.0,1265.0,-500.0,1.6757478632478633,12,75.0,207.0,-234.0,1.294871794871795,21.57542721352311
03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|SELL|Sunday,6,142,76.76056338028168,4364.0,-670.5,1.663121106214861,39,79.48717948717949,1259.0,-500.0,1.672542735042735,15,73.33333333333333,175.0,-367.0,1.186965811965812,20.67370308526867
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Wednesday ; 20:58|SELL|Sunday,7,185,76.75675675675676,6284.5,-1017.5,1.79752538071066,51,82.35294117647058,2259.5,-376.5,2.139722572509458,14,78.57142857142857,409.0,-266.0,1.5826210826210827,22.786419543781292
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|SELL|Friday ; 10:30|SELL|Thursday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Monday,7,185,76.75675675675676,6448.0,-816.5,1.8369678089304258,50,82.0,1940.0,-500.0,1.9211775878442545,15,73.33333333333333,175.0,-500.0,1.186965811965812,22.910810151272766
03:48|BUY|Monday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Wednesday,7,185,76.75675675675676,5853.5,-1251.5,1.6989253731343283,54,79.62962962962963,1892.5,-468.0,1.7722913691083453,17,76.47058823529412,377.0,-468.0,1.4027777777777777,21.781611942056195
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Wednesday ; 20:58|SELL|Sunday,8,185,76.75675675675676,5647.5,-835.0,1.6567242281527996,56,76.78571428571429,1301.0,-527.0,1.4276791584483892,17,70.58823529411765,42.0,-500.0,1.035897435897436,21.513597382820073
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Wednesday ; 20:58|SELL|Sunday,9,228,76.75438596491229,7462.0,-1133.5,1.7435603607194459,62,80.64516129032258,2365.5,-610.5,1.8811696777798472,18,72.22222222222221,143.0,-266.0,1.1222222222222222,23.390868132837912
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|SELL|Sunday,9,228,76.75438596491229,7372.0,-1101.0,1.7258405946930537,64,79.6875,2232.5,-468.0,1.7649477471303752,19,73.68421052631578,244.0,-367.0,1.2085470085470085,23.34086471750007
03:48|BUY|Monday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Wednesday,9,228,76.75438596491229,7031.0,-1303.0,1.6676795973600493,65,78.46153846153847,1998.5,-642.5,1.6339413164155432,21,71.42857142857143,111.0,-468.0,1.079059829059829,22.565623688356773
03:48|BUY|Monday ; 10:30|BUY|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Monday,5,129,76.74418604651163,4311.0,-867.0,1.7750809061488673,38,84.21052631578947,1733.0,-234.0,2.2343304843304845,15,80.0,510.0,-234.0,1.7264957264957266,21.104025826589503
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|SELL|Monday ; 20:58|SELL|Sunday,7,172,76.74418604651163,5829.5,-564.0,1.7938312793627018,48,83.33333333333334,2073.0,-367.0,2.1073717948717947,17,76.47058823529412,377.0,-367.0,1.4027777777777777,22.72394596244524
03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday ; 20:58|BUY|Wednesday ; 20:58|SELL|Monday,8,215,76.74418604651163,7337.5,-729.5,1.8240678346810422,60,83.33333333333334,2615.0,-601.0,2.1175213675213675,20,75.0,345.0,-601.0,1.294871794871795,24.023153105998873
03:48|BUY|Monday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Monday,7,172,76.74418604651163,5488.5,-697.0,1.711175898931001,49,81.63265306122449,1839.0,-468.0,1.8732193732193732,19,73.68421052631578,244.0,-468.0,1.2085470085470085,21.942937682959176
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday ; 20:58|SELL|Monday ; 20:58|SELL|Sunday,7,172,76.74418604651163,6134.0,-500.0,1.9013298067739328,53,81.13207547169812,1908.0,-500.0,1.8153846153846154,20,70.0,10.0,-500.0,1.0071225071225072,22.766352185010003
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 20:58|SELL|Monday,5,129,76.74418604651163,4398.0,-772.5,1.8081587651598676,40,80.0,1265.0,-500.0,1.6757478632478633,15,73.33333333333333,175.0,-500.0,1.186965811965812,20.774744036477696
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Thursday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday,8,215,76.74418604651163,7000.0,-999.0,1.7354099910700216,63,76.19047619047619,1461.5,-936.0,1.4315665141001033,20,70.0,10.0,-936.0,1.0071225071225072,22.720352405244995
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 10:30|SELL|Thursday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Sunday,9,215,76.74418604651163,6707.0,-931.0,1.6800162222447532,63,76.19047619047619,1338.0,-702.0,1.3811965811965812,20,70.0,10.0,-633.0,1.0071225071225072,22.439958636419725
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday ; 20:58|SELL|Monday ; 20:58|SELL|Sunday,8,202,76.73267326732673,6982.0,-709.0,1.823057880466816,60,78.33333333333333,1610.0,-665.0,1.5292570677186061,18,72.22222222222221,143.0,-500.0,1.1222222222222222,23.29710298497727
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|SELL|Sunday,8,202,76.73267326732673,6471.5,-899.5,1.7161115414407435,59,77.96610169491525,1727.5,-610.5,1.591913654274456,21,71.42857142857143,111.0,-367.0,1.079059829059829,22.43111252434775
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday,6,159,76.72955974842768,5599.0,-1061.5,1.8513647076712536,41,87.8048780487805,2589.5,-234.0,3.4744386048733875,10,80.0,340.0,-234.0,1.7264957264957266,22.45206458495305
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|SELL|Thursday ; 20:58|BUY|Sunday ; 20:58|SELL|Monday,6,159,76.72955974842768,5457.5,-633.0,1.8138841249720379,47,78.72340425531915,1302.0,-633.0,1.5564102564102564,18,72.22222222222221,143.0,-633.0,1.1222222222222222,21.858621423691876
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Wednesday,5,116,76.72413793103449,3874.5,-586.0,1.771889630441279,33,84.84848484848484,1658.0,-468.0,2.417094017094017,8,75.0,138.0,-367.0,1.294871794871795,20.725227665968973
10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Wednesday,5,146,76.71232876712328,4742.5,-1318.5,1.734587980173482,35,85.71428571428571,1983.5,-344.5,2.8953655040611563,8,87.5,473.0,-234.0,3.0213675213675213,21.490535142600095
03:48|BUY|Monday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Tuesday ; 20:58|BUY|Wednesday ; 20:58|SELL|Monday,8,219,76.71232876712328,7690.0,-1050.5,1.8703033046627433,60,83.33333333333334,2738.5,-468.0,2.235506429054816,17,70.58823529411765,42.0,-468.0,1.035897435897436,23.877114612747626
10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Tuesday ; 20:58|BUY|Wednesday,5,146,76.71232876712328,5047.0,-1220.5,1.8528218992903007,40,82.5,1818.5,-468.0,2.2007263123142953,11,72.72727272727273,106.0,-468.0,1.150997150997151,21.111918412366265
03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday ; 20:58|BUY|Wednesday,7,176,76.70454545454545,5823.5,-900.0,1.778230656153949,50,84.0,2370.0,-633.0,2.266025641025641,16,75.0,276.0,-633.0,1.294871794871795,22.322185201608495
03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Thursday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday,6,176,76.70454545454545,5889.0,-1175.0,1.7749194025922759,44,79.54545454545455,1552.5,-702.0,1.7831021437578816,11,72.72727272727273,106.0,-702.0,1.150997150997151,21.773010311683183
03:48|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|SELL|Sunday,4,103,76.69902912621359,3539.0,-1004.0,1.8121629374641424,28,82.14285714285714,1276.5,-243.5,2.21978021978022,8,75.0,138.0,-234.0,1.294871794871795,19.874208707228355
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Wednesday,9,236,76.69491525423729,7626.5,-1202.0,1.7279278419394866,65,83.07692307692308,3003.5,-468.0,2.225668230973271,19,78.94736842105263,579.0,-468.0,1.6185897435897436,23.923133942261998
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Tuesday ; 20:58|BUY|Wednesday,9,236,76.69491525423729,7931.0,-1050.5,1.7979676023744844,70,81.42857142857143,2838.5,-702.0,1.9725886585574781,22,72.72727272727273,212.0,-702.0,1.150997150997151,24.05575133559042
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Thursday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Wednesday ; 20:58|SELL|Sunday,9,236,76.69491525423729,7703.5,-1182.5,1.7407211538461538,64,78.125,1897.5,-633.0,1.6019032513877876,17,70.58823529411765,42.0,-633.0,1.035897435897436,23.366874443975764
03:48|BUY|Monday ; 03:48|SELL|Friday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 10:30|SELL|Thursday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday ; 20:58|BUY|Wednesday,9,236,76.69491525423729,7272.5,-1315.5,1.6675080312069757,67,76.11940298507463,1530.5,-936.0,1.4227316668968375,20,70.0,10.0,-936.0,1.0071225071225072,22.599969705884433
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday ; 20:58|BUY|Thursday,5,133,76.69172932330827,4698.5,-803.5,1.86100421477002,36,86.11111111111111,2084.5,-344.5,2.9918776875298616,12,75.0,207.0,-234.0,1.294871794871795,21.480732702656404
10:30|BUY|Friday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|BUY|Tuesday ; 20:58|SELL|Monday,5,133,76.69172932330827,4592.0,-767.0,1.8532936913499953,37,83.78378378378379,1632.0,-532.0,2.1623931623931623,14,71.42857142857143,74.0,-532.0,1.079059829059829,21.108084384298586
