tokens,qtd_tokens,d365_trades,d365_winrate,d365_pnl_usd,d365_max_drawdown_usd,d365_profit_factor,d90_trades,d90_winrate,d90_pnl_usd,d90_max_drawdown_usd,d90_profit_factor,d30_trades,d30_winrate,d30_pnl_usd,d30_max_drawdown_usd,d30_profit_factor,score_robustez
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday,5,133,81.203007518797,6067.5,-650.0,2.270281586936041,38,81.57894736842105,1493.0,-399.0,1.9114774114774116,10,70.0,5.0,-399.0,1.0071225071225072,23.387029707236795
10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,4,111,81.08108108108108,4450.5,-968.0,1.959262851600388,28,82.14285714285714,1153.0,-468.0,1.9854700854700855,9,77.77777777777779,239.0,-468.0,1.5106837606837606,21.545902705740243
03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,4,116,81.03448275862068,5168.5,-931.0,2.2128358559192773,27,88.88888888888889,1722.0,-234.0,3.452991452991453,6,83.33333333333334,271.0,-234.0,2.158119658119658,23.164895242892456
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,6,158,81.0126582278481,6730.5,-894.0,2.0973343115676206,42,85.71428571428571,2232.0,-500.0,2.58974358974359,13,76.92307692307693,308.0,-500.0,1.4387464387464388,24.166968266220564
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|SELL|Wednesday ; 20:58|BUY|Sunday,4,100,81.0,4554.0,-675.5,2.278136401908504,28,85.71428571428571,1488.0,-266.0,2.58974358974359,10,70.0,5.0,-234.0,1.0071225071225072,22.04235068762279
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday ; 20:58|SELL|Sunday,6,152,80.92105263157895,6623.5,-761.0,2.1548252114026676,40,82.5,1695.0,-367.0,2.0347985347985347,10,70.0,5.0,-367.0,1.0071225071225072,23.73443047456056
03:48|BUY|Monday ; 10:30|BUY|Friday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,5,131,80.91603053435115,5317.0,-1069.0,1.992347891004106,38,81.57894736842105,1493.0,-500.0,1.9114774114774116,13,76.92307692307693,308.0,-500.0,1.4387464387464388,22.257052159014123
10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,3,89,80.89887640449437,3755.0,-936.0,2.0771658060814686,23,82.6086956521739,983.0,-234.0,2.050213675213675,6,83.33333333333334,271.0,-234.0,2.158119658119658,21.283154895806266
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 03:48|SELL|Friday ; 10:30|BUY|Monday ; 10:30|SELL|Friday ; 20:58|BUY|Sunday,6,157,80.89171974522293,6910.5,-980.0,2.1807774455360955,42,83.33333333333334,1897.0,-399.0,2.158119658119658,10,70.0,5.0,-399.0,1.0071225071225072,23.867116086725055
03:48|BUY|Monday ; 03:48|BUY|Tuesday ; 10:30|BUY|Monday ; 20:58|BUY|Sunday ; 20:58|BUY|Wednesday,5,136,80.88235294117648,6035.0,-784.5,2.211847389558233,37,86.48648648648648,2062.0,-367.0,2.7623931623931623,10,80.0,340.0,-367.0,1.7264957264957266,23.874907008000203
